Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Age group (product.metafields.shopify.age-group),Canopy material (product.metafields.shopify.canopy-material),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hafaloha-neon-tank-top-ladies,,,,,,,,,S,,,BLK,,,,,01-TSTT-HANEON-WM-BLK-S,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000067581,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0041_P1122817_709738a7-af09-40ae-b77c-ca7617597748.png?v=1698188263,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0040_P1122818_dcfd9d0d-6c92-486c-bee8-f9984a14d645.png?v=1698188262,oz,,6.50,
hafaloha-neon-tank-top-ladies,,,,,,,,,S,,,WHT,,,,,01-TSTT-HANEON-WM-WHT-S,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000067642,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0042_P1122814_dde097cf-ac6a-4f9f-a2f2-c4b7ce8ada21.png?v=1698188263,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0042_P1122814_dde097cf-ac6a-4f9f-a2f2-c4b7ce8ada21.png?v=1698188263,oz,,6.50,
hafaloha-neon-tank-top-ladies,,,,,,,,,M,,,BLK,,,,,01-TSTT-HANEON-WM-BLK-M,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000067598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0040_P1122818_dcfd9d0d-6c92-486c-bee8-f9984a14d645.png?v=1698188262,oz,,6.50,
hafaloha-neon-tank-top-ladies,,,,,,,,,M,,,WHT,,,,,01-TSTT-HANEON-WM-WHT-M,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000067659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0042_P1122814_dde097cf-ac6a-4f9f-a2f2-c4b7ce8ada21.png?v=1698188263,oz,,6.50,
hafaloha-neon-tank-top-ladies,,,,,,,,,L,,,BLK,,,,,01-TSTT-HANEON-WM-BLK-L,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000067604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0040_P1122818_dcfd9d0d-6c92-486c-bee8-f9984a14d645.png?v=1698188262,oz,,6.50,
hafaloha-neon-tank-top-ladies,,,,,,,,,L,,,WHT,,,,,01-TSTT-HANEON-WM-WHT-L,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000067666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0042_P1122814_dde097cf-ac6a-4f9f-a2f2-c4b7ce8ada21.png?v=1698188263,oz,,6.50,
hafaloha-neon-tank-top-ladies,,,,,,,,,XL,,,BLK,,,,,01-TSTT-HANEON-WM-BLK-XL,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000067611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0040_P1122818_dcfd9d0d-6c92-486c-bee8-f9984a14d645.png?v=1698188262,oz,,6.50,
hafaloha-neon-tank-top-ladies,,,,,,,,,XL,,,WHT,,,,,01-TSTT-HANEON-WM-WHT-XL,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000067673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0042_P1122814_dde097cf-ac6a-4f9f-a2f2-c4b7ce8ada21.png?v=1698188263,oz,,6.50,
hafaloha-neon-tank-top-ladies,,,,,,,,,2XL,,,BLK,,,,,01-TSTT-HANEON-WM-BLK-2XL,226.796185,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000067628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0040_P1122818_dcfd9d0d-6c92-486c-bee8-f9984a14d645.png?v=1698188262,oz,,6.50,
hafaloha-neon-tank-top-ladies,,,,,,,,,2XL,,,WHT,,,,,01-TSTT-HANEON-WM-WHT-2XL,226.796185,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000067680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0042_P1122814_dde097cf-ac6a-4f9f-a2f2-c4b7ce8ada21.png?v=1698188263,oz,,6.50,
